date,cash_inflow,cash_outflow,net_cash_flow,accounts_receivable,accounts_payable,inventory
2020-01-01,1209.929070794292,1034.1813579140387,175.7477128802534,1451.9148849531505,34127.984811163275,310.2544073742116
2020-01-02,1130.1806940077884,633.2163211062355,496.9643729015529,1356.216832809346,20896.13859650577,189.96489633187062
2020-01-03,1418.9866016863602,1511.8932757778662,-92.90667409150592,1702.7839220236322,49892.478100669585,453.5679827333598
2020-01-04,1103.135358639912,1143.9733905571243,-40.83803191721222,1323.7624303678945,37751.1218883851,343.1920171671373
2020-01-05,625.2494596167585,543.1462440540223,82.10321556273618,750.2993515401101,17923.826053782737,162.9438732162067
2020-01-06,1031.9291307106992,627.033788827257,404.89534188344214,1238.314956852839,20692.11503129948,188.1101366481771
2020-01-07,944.6793305350066,884.4439243530135,60.235406181993085,1133.6151966420077,29186.649503649445,265.33317730590403
2020-01-08,1217.6051250268736,968.75627638233,248.84884864454352,1461.1261500322482,31968.95712061689,290.626882914699
2020-01-09,1410.5024037726598,1047.6171328593866,362.8852709132732,1692.6028845271917,34571.36538435976,314.285139857816
2020-01-10,1255.6344787759854,1089.9974632734863,165.63701550249903,1506.7613745311824,35969.91628802505,326.9992389820459
2020-01-11,1171.441778230742,1506.0674665600404,-334.6256883292983,1405.7301338768905,49700.22639648133,451.8202399680121
2020-01-12,1459.467265596908,1095.06888161942,364.39838397748804,1751.3607187162895,36137.27309344086,328.520664485826
2020-01-13,1144.7391600676776,895.5794050211117,249.15975504656592,1373.686992081213,29554.120365696686,268.6738215063335
2020-01-14,1027.3828193621202,561.1502192702173,466.2326000919029,1232.8593832345443,18517.957235917173,168.3450657810652
2020-01-15,1606.9052912380444,1264.7273181904266,342.1779730476178,1928.286349485653,41736.001500284074,379.418195457128
2020-01-16,1545.2897705512464,1199.363351495896,345.9264190553504,1854.3477246614957,39578.990599364566,359.8090054487688
2020-01-17,1010.6708885444873,899.134170507497,111.53671803699035,1212.8050662533847,29671.427626747398,269.7402511522491
2020-01-18,697.5795649735207,460.891719600929,236.68784537259177,837.0954779682248,15209.426746830657,138.2675158802787
2020-01-19,1035.012786771873,1081.3319693920068,-46.319182620133915,1242.0153441262476,35683.954989936225,324.399590817602
2020-01-20,1007.1839708698155,909.0368241900551,98.14714667976045,1208.6207650437786,29998.215198271817,272.7110472570165
2020-01-21,904.6799873729883,1247.7761463582583,-343.09615898527,1085.6159848475859,41176.61282982252,374.33284390747747
2020-01-22,1211.9769150045954,1119.7902624495707,92.1866525550247,1454.3722980055145,36953.07866083583,335.9370787348712
2020-01-23,997.2530174761321,634.3692420115455,362.8837754645866,1196.7036209713585,20934.184986381,190.31077260346362
2020-01-24,1319.2030211770484,615.8637590524274,703.339262124621,1583.0436254124581,20323.504048730105,184.75912771572823
2020-01-25,1162.7153064699814,715.8424603726353,446.87284609734616,1395.2583677639777,23622.801192296964,214.7527381117906
2020-01-26,928.4553104471702,681.8310932637654,246.62421718340477,1114.146372536604,22500.42607770426,204.54932797912963
2020-01-27,1628.54572679599,1110.3190398513907,518.2266869445994,1954.254872155188,36640.52831509589,333.0957119554172
2020-01-28,1183.2045925780521,1006.7371974774707,176.46739510058148,1419.8455110936625,33222.32751675653,302.0211592432412
2020-01-29,1115.7717734170824,982.6535558833424,133.11821753374,1338.9261281004988,32427.5673441503,294.7960667650027
2020-01-30,806.4203645656899,635.1704045563374,171.24996000935244,967.7044374788278,20960.623350359136,190.5511213669012
2020-01-31,762.3858598834217,281.20601594670694,481.1798439367148,914.863031860106,9279.79852624133,84.36180478401208
2020-02-01,903.3409313631569,560.2458422501973,343.0950891129596,1084.0091176357882,18488.11279425651,168.07375267505918
2020-02-02,585.3147083626342,285.21177446521114,300.10293389742304,702.377650035161,9411.988557351968,85.56353233956334
2020-02-03,1093.3338732829448,697.8957331426365,395.4381401403083,1312.0006479395336,23030.559193707002,209.36871994279093
2020-02-04,909.2622479850706,695.0630480696694,214.1991999154012,1091.1146975820848,22937.080586299093,208.5189144209008
2020-02-05,1065.1981212509493,632.3809724089288,432.8171488420205,1278.237745501139,20868.57208949465,189.7142917226786
2020-02-06,814.8820102516886,819.6600528507072,-4.77804259901859,977.8584123020263,27048.781744073338,245.89801585521215
2020-02-07,1259.4579337346934,634.0491740948873,625.408759639806,1511.349520481632,20923.62274513128,190.2147522284662
2020-02-08,610.9871566901044,545.2445952558493,65.7425614342551,733.1845880281252,17993.071643443025,163.57337857675478
2020-02-09,1121.9465481229472,911.8185895407985,210.12795858214872,1346.3358577475367,30090.01345484635,273.54557686223956
2020-02-10,793.5503251323312,853.5412736711875,-59.99094853885629,952.2603901587973,28166.862031149187,256.0623821013562
2020-02-11,1056.5615885173916,798.0796364364024,258.4819520809891,1267.87390622087,26336.62800240128,239.42389093092072
2020-02-12,1230.5879130917097,1009.7857658700501,220.80214722165954,1476.7054957100515,33322.93027371165,302.935729761015
2020-02-13,1647.8966104277374,1378.2294927095527,269.6671177181847,1977.4759325132848,45481.573259415236,413.4688478128658
2020-02-14,1344.832379221406,1150.7670516845726,194.06532753683337,1613.7988550656871,37975.3127055909,345.23011550537177
2020-02-15,527.038492344404,440.4736010005684,86.56489134383554,632.4461908132847,14535.628833018758,132.1420803001705
2020-02-16,442.5421672198124,201.37767987674854,241.16448734306388,531.0506006637748,6645.463435932702,60.41330396302456
2020-02-17,1180.5858196899835,990.5977161692617,189.98810352072178,1416.70298362798,32689.724633585636,297.1793148507785
2020-02-18,1691.392437289528,1357.5306751432227,333.8617621463054,2029.6709247474337,44798.51227972635,407.25920254296676
2020-02-19,1195.4479464586718,896.7343187909216,298.7136276677502,1434.537535750406,29592.232520100413,269.0202956372765
2020-02-20,529.9906016417601,520.0935311818815,9.897070459878591,635.9887219701121,17163.086529002092,156.02805935456445
2020-02-21,385.20435709248727,284.7743586599034,100.42999843258389,462.2452285109847,9397.553835776811,85.43230759797102
2020-02-22,826.9630102920896,611.493885124903,215.46912516718658,992.3556123505075,20179.2982091218,183.4481655374709
2020-02-23,988.3991799139646,752.451797843778,235.94738207018668,1186.0790158967575,24830.909328844675,225.7355393531334
